id,word_A,word_B,phoneme_contrast
1,red,wed,w-r
2,ring,wing,w-r
3,rock,wok,w-r
4,rag,wag,w-r
5,rain,wane,w-r
6,ride,wide,w-r
7,ripe,wipe,w-r
8,reek,week,w-r
9,reed,weed,w-r
10,rent,went,w-r
11,rest,west,w-r
12,rim,whim,w-r
13,rod,wad,w-r
14,rack,whack,w-r
15,rail,wail,w-r
16,rake,wake,w-r
17,rare,ware,w-r
18,rave,wave,w-r
19,ray,way,w-r
20,rip,whip,w-r
21,rose,woes,w-r
22,reel,wheel,w-r
23,run,won,w-r
24,rig,wig,w-r
25,lake,rake,l-r
26,lane,rain,l-r
27,lap,rap,l-r
28,law,raw,l-r
29,lid,rid,l-r
30,lip,rip,l-r
31,lock,rock,l-r
32,look,rook,l-r
33,loom,room,l-r
34,lot,rot,l-r
35,low,row,l-r
36,luck,ruck,l-r
37,lug,rug,l-r
38,lung,rung,l-r
39,lace,race,l-r
40,lag,rag,l-r
41,leap,reap,l-r
42,load,road,l-r
43,lime,rhyme,l-r
44,lore,roar,l-r
45,sap,zap,s-z
46,seal,zeal,s-z
47,sip,zip,s-z
48,sue,zoo,s-z
49,bus,buzz,s-z
50,ice,eyes,s-z
51,rice,rise,s-z
52,face,faze,s-z
53,lace,laze,s-z
54,race,raze,s-z
55,peace,peas,s-z
56,price,prize,s-z
57,brace,braze,s-z
58,place,plays,s-z
59,niece,knees,s-z
60,ten,den,t-d
61,tie,die,t-d
62,tip,dip,t-d
63,toe,doe,t-d
64,tin,din,t-d
65,time,dime,t-d
66,tire,dire,t-d
67,tot,dot,t-d
68,tug,dug,t-d
69,tub,dub,t-d
70,tuck,duck,t-d
71,tale,dale,t-d
72,team,deem,t-d
73,tear,dear,t-d
74,tell,dell,t-d
75,tent,dent,t-d
76,town,down,t-d
77,too,do,t-d
78,tame,dame,t-d
79,tore,door,t-d
80,pat,bat,p-b
81,pan,ban,p-b
82,pear,bear,p-b
83,pet,bet,p-b
84,pig,big,p-b
85,pin,bin,p-b
86,pit,bit,p-b
87,pug,bug,p-b
88,pun,bun,p-b
89,pack,back,p-b
90,pace,base,p-b
91,pay,bay,p-b
92,peak,beak,p-b
93,peer,beer,p-b
94,pest,best,p-b
95,pelt,belt,p-b
96,pale,bail,p-b
97,par,bar,p-b
98,park,bark,p-b
99,pass,bass,p-b
100,cap,gap,k-g
101,cave,gave,k-g
102,coat,goat,k-g
103,cod,god,k-g
104,cold,gold,k-g
105,core,gore,k-g
106,cot,got,k-g
107,cut,gut,k-g
108,cram,gram,k-g
109,crave,grave,k-g
110,crew,grew,k-g
111,coal,goal,k-g
112,kill,gill,k-g
113,kin,gin,k-g
114,kit,git,k-g
115,came,game,k-g
116,curl,girl,k-g
117,kale,gale,k-g
118,card,guard,k-g
119,mail,nail,m-n
120,map,nap,m-n
121,meat,neat,m-n
122,met,net,m-n
123,might,night,m-n
124,mine,nine,m-n
125,moon,noon,m-n
126,may,nay,m-n
127,more,nor,m-n
128,mark,nark,m-n
129,mill,nil,m-n
130,mow,know,m-n
131,meal,kneel,m-n
132,man,nan,m-n
133,moan,known,m-n
134,fan,van,f-v
135,fat,vat,f-v
136,feel,veal,f-v
137,few,view,f-v
138,file,vile,f-v
139,fine,vine,f-v
140,fend,vend,f-v
141,fast,vast,f-v
142,fail,veil,f-v
143,ferry,very,f-v
144,fain,vain,f-v
145,fox,vox,f-v
146,fie,vie,f-v
147,face,vase,f-v
148,thin,fin,th-f
149,think,fink,th-f
150,thirst,first,th-f
151,thought,fought,th-f
152,three,free,th-f
153,throat,float,th-f
154,thrill,frill,th-f
155,thug,fug,th-f
156,see,she,s-sh
157,sell,shell,s-sh
158,sip,ship,s-sh
159,sue,shoe,s-sh
160,sop,shop,s-sh
161,sore,shore,s-sh
162,sort,short,s-sh
163,sack,shack,s-sh
164,sake,shake,s-sh
165,same,shame,s-sh
166,sin,shin,s-sh
167,suit,shoot,s-sh
168,so,show,s-sh
169,sigh,shy,s-sh
170,said,shed,s-sh
171,save,shave,s-sh
172,cheap,jeep,ch-j
173,cheer,jeer,ch-j
174,chest,jest,ch-j
175,chin,gin,ch-j
176,chunk,junk,ch-j
177,chump,jump,ch-j
178,char,jar,ch-j
179,cherry,jerry,ch-j
180,chip,gyp,ch-j
181,chug,jug,ch-j
